"OLSRCP","QRPGLESRC","ACTEL02RB","program             ","ACTEL02RB                                         ","copypath1           ","OLSRCP/QCOPYSRC,DSACTL","2013-08-07-14.11.59.190000","DEVBOUSS"
"OLSRCP","QRPGLESRC","ACTEL02RB","program             ","ACTEL02RB                                         ","copydesc1           ","trt actel","2013-08-07-14.11.59.190000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AJUCARP","program             ","AJUCARP                                           ","copyname1           ","qcopysrc,driver_h","2013-08-07-14.11.59.486000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AJUCARP","program             ","AJUCARP                                           ","copypath1           ","OLSRCP/QCOPYSRC,DRIVER_H","2013-08-07-14.11.59.486000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AJUCARP","program             ","AJUCARP                                           ","copydesc1           ","Driver tools services - Module Copy book","2013-08-07-14.11.59.486000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AJUCARP","program             ","AJUCARP                                           ","copyname2           ","qcopysrc,object_h","2013-08-07-14.11.59.486000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AJUCARP","program             ","AJUCARP                                           ","copypath2           ","OLSRCP/QCOPYSRC,OBJECT_H","2013-08-07-14.11.59.486000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AJUCARP","program             ","AJUCARP                                           ","copydesc2           ","Object tools services - Module Copy book","2013-08-07-14.11.59.486000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copyname1           ","qcopysrc,comm_h","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copypath1           ","OLSRCP/QCOPYSRC,COMM_H","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copydesc1           ","Communication services - Module Copy book","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copyname2           ","qcopysrc,tools_h","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copypath2           ","DEVBOUSS/QCOPYSRC,TOOLS_H","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copydesc2           ","Tools services - Module Copy book","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copyname3           ","qcopysrc,string_h","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copypath3           ","OLSRCP/QCOPYSRC,STRING_H","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copydesc3           ","String tools services - Module Copy book","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copyname4           ","qcopysrc,driver_h","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copypath4           ","OLSRCP/QCOPYSRC,DRIVER_H","2013-08-07-14.11.59.881000","DEVBOUSS"
"OLSRCP","QRPGLESRC","AMCSEXT1RB","program             ","AMCSEXT1RB                                        ","copydesc4           ","Driver tools services - Module Copy book","2013-08-07-14.11.59.881000","DEVBOUSS"
